#wl	f0 ( W/m^2/um/sr)
318.9	733.7607725458538
318.925	729.9407729411173
318.95	773.0001416925287
318.975	870.9811299353314
319.0	984.2456532729793
319.025	1052.545858310144
319.05	1043.814055280689
319.075	974.182541532787
319.1	884.0728850713276
319.125	798.9985159727561
319.15	724.2553866024506
319.175	668.7109225190449
319.2	639.9858510455452
319.225	620.9006790869308
319.25	584.7574998494875
319.275	528.6825343812275
319.3	471.1099565100968
319.325	427.8421936271095
319.35	406.99762531482696
319.375	417.7936481961286
319.4	465.8846777190399
319.425	538.033735242287
319.45	604.9975363576734
319.475	646.1694491179204
319.5	662.8599218403267
319.525	668.3040749127282
319.55	675.246190059346
319.575	689.3713039475012
319.6	706.6789965485573
319.625	716.3309347483528
319.65	709.8594772333824
319.675	692.8308623288333
319.7	680.0669790280187
319.725	671.954244140042
319.75	652.9362090798497
319.775	626.1942237153268
319.8	624.3775511951924
319.825	669.7273971404993
319.85	748.691089628241
319.875	834.38459680256
319.9	912.3942959430634
319.925	979.2363714676201
319.95	1024.2160653167152
319.975	1023.1043502112341
320.0	962.6907126354861
320.025	866.5675782067609
320.05	776.3609828575944
320.075	710.5756141404963
320.1	665.1981141870297
320.125	647.1360106523931
320.15	674.6437263114954
320.175	747.0384629224062
320.2	838.6570411571253
320.225	918.2856486951041
320.25	959.1245344654691
320.275	940.3547061172413
320.3	863.7989903862441
320.325	772.4180088357925
320.35	727.8775021972095
320.375	755.0209901917611
320.4	821.8212550139522
320.425	881.9624986112059
320.45	920.3229938063622
320.475	950.8813122217941
320.5	988.3516340856528
320.525	1025.3344041965495
320.55	1029.210091460781
320.575	973.1824615021526
320.6	878.762736049304
320.625	809.8277975943626
320.65	812.8556017789364
320.675	875.7082269645094
320.7	948.7795276767827
320.725	988.9811224332404
320.75	983.247291627245
320.775	950.9779014381552
320.8	925.9942734038722
320.825	923.3770633043218
320.85	925.7140767590582
320.875	904.2631483610701
320.9	847.9487679175436
320.925	774.005496765182
320.95	712.3677297415352
320.975	680.1319679453159
321.0	678.4399282834876
321.025	700.809013711059
321.05	723.0063505641102
321.075	708.5461716016567
321.1	651.1273791884744
321.125	589.8847807481898
321.15	566.9427438343656
321.175	583.6392009320926
321.2	601.6303711365509
321.225	583.4916096522726
321.25	535.1516940559244
321.275	503.253115343299
321.3	525.3215733288431
321.325	588.6605014411425
321.35	642.2593042401982
321.375	645.3931287768638
321.4	601.8211817947305
321.425	546.5890141856968
321.45	506.0280871635318
321.475	484.42524155164364
321.5	485.0575572418285
321.525	516.84597948987
321.55	575.7507252641882
321.575	641.2446778815722
321.6	694.7104956724584
321.625	729.734496818837
321.65	748.2949819275499
321.675	757.0815235085606
321.7	757.7464385587978
321.725	734.5603210548913
321.75	675.4253516664005
321.775	608.9669355426192
321.8	588.7166087062525
