#wavlengths (nm), Water Real, Water Imaginary, Ice Real, Ice Imaginary
1955,1.307305556,1.79E-03,1.2756,1.21E-03
1960,1.307038889,1.71E-03,1.2754,1.30E-03
1965,1.306750000,1.62E-03,1.2752,1.38E-03
1970,1.306438889,1.53E-03,1.2750,1.45E-03
1975,1.306111111,1.45E-03,1.2749,1.50E-03
1980,1.305772222,1.37E-03,1.2747,1.54E-03
1985,1.305422222,1.29E-03,1.2745,1.57E-03
1990,1.305061111,1.22E-03,1.2744,1.58E-03
1995,1.304694444,1.16E-03,1.2742,1.59E-03
2000,1.304333333,1.10E-03,1.2740,1.59E-03
2005,1.303972222,1.05E-03,1.2739,1.58E-03
2010,1.303611111,9.96E-04,1.2737,1.57E-03
2015,1.303250000,9.48E-04,1.2735,1.56E-03
2020,1.302888889,9.02E-04,1.2733,1.54E-03
2025,1.302522222,8.57E-04,1.2731,1.52E-03
2030,1.302155556,8.14E-04,1.2729,1.49E-03
2035,1.301794444,7.74E-04,1.2727,1.46E-03
2040,1.301433333,7.37E-04,1.2724,1.42E-03
2045,1.301083333,7.04E-04,1.2722,1.38E-03
2050,1.300750000,6.77E-04,1.2720,1.34E-03
2055,1.300427778,6.51E-04,1.2717,1.30E-03
2060,1.300122222,6.26E-04,1.2715,1.26E-03
2065,1.299827778,6.01E-04,1.2712,1.22E-03
2070,1.299533333,5.74E-04,1.2710,1.18E-03
2075,1.299233333,5.49E-04,1.2707,1.14E-03
2080,1.298938889,5.27E-04,1.2705,1.09E-03
2085,1.298650000,5.08E-04,1.2702,1.05E-03
2090,1.298366667,4.92E-04,1.2699,1.00E-03
2095,1.298088889,4.78E-04,1.2696,9.53E-04
2100,1.297805556,4.65E-04,1.2693,8.99E-04
2105,1.297522222,4.53E-04,1.2690,8.41E-04
2110,1.297238889,4.40E-04,1.2687,7.81E-04
2115,1.296961111,4.28E-04,1.2684,7.20E-04
2120,1.296683333,4.17E-04,1.2680,6.62E-04
2125,1.296405556,4.06E-04,1.2677,6.10E-04
2130,1.296133333,3.95E-04,1.2674,5.65E-04
2135,1.295861111,3.85E-04,1.2670,5.26E-04
2140,1.295588889,3.76E-04,1.2666,4.90E-04
2145,1.295322222,3.68E-04,1.2663,4.59E-04
2150,1.295050000,3.60E-04,1.2659,4.32E-04
2155,1.294783333,3.53E-04,1.2655,4.09E-04
2160,1.294522222,3.49E-04,1.2652,3.88E-04
2165,1.294272222,3.45E-04,1.2648,3.68E-04
2170,1.294016667,3.43E-04,1.2644,3.50E-04
2175,1.293755556,3.41E-04,1.2640,3.33E-04
2180,1.293483333,3.39E-04,1.2636,3.17E-04
2185,1.293200000,3.39E-04,1.2632,3.01E-04
2190,1.292911111,3.38E-04,1.2628,2.87E-04
2195,1.292611111,3.38E-04,1.2624,2.74E-04
2200,1.292300000,3.38E-04,1.2620,2.61E-04
2205,1.291977778,3.38E-04,1.2616,2.50E-04
2210,1.291644444,3.39E-04,1.2612,2.39E-04
2215,1.291300000,3.40E-04,1.2608,2.30E-04
2220,1.290944444,3.43E-04,1.2604,2.21E-04
2225,1.290577778,3.48E-04,1.2599,2.14E-04
2230,1.290200000,3.53E-04,1.2595,2.10E-04
2235,1.289811111,3.59E-04,1.2590,2.06E-04
2240,1.289422222,3.66E-04,1.2586,2.03E-04
2245,1.289022222,3.73E-04,1.2582,2.01E-04
2250,1.288622222,3.80E-04,1.2577,2.03E-04
2255,1.288222222,3.88E-04,1.2572,2.08E-04
2260,1.287822222,3.95E-04,1.2568,2.14E-04
2265,1.287411111,4.03E-04,1.2563,2.22E-04
2270,1.286988889,4.12E-04,1.2558,2.32E-04
2275,1.286555556,4.20E-04,1.2553,2.44E-04
2280,1.286116667,4.29E-04,1.2548,2.57E-04
2285,1.285672222,4.38E-04,1.2543,2.72E-04
2290,1.285233333,4.47E-04,1.2538,2.89E-04
2295,1.284800000,4.57E-04,1.2533,3.09E-04
2300,1.284372222,4.68E-04,1.2528,3.33E-04
2305,1.283944444,4.79E-04,1.2523,3.58E-04
2310,1.283511111,4.92E-04,1.2518,3.81E-04
2315,1.283066667,5.07E-04,1.2513,4.01E-04
2320,1.282616667,5.23E-04,1.2507,4.21E-04
2325,1.282161111,5.40E-04,1.2502,4.42E-04
2330,1.281688889,5.58E-04,1.2497,4.62E-04
2335,1.281211111,5.77E-04,1.2491,4.83E-04
2340,1.280727778,5.97E-04,1.2486,5.05E-04
2345,1.280233333,6.17E-04,1.2480,5.27E-04
2350,1.279738889,6.39E-04,1.2475,5.48E-04
2355,1.279250000,6.61E-04,1.2469,5.67E-04
2360,1.278766667,6.85E-04,1.2463,5.85E-04
2365,1.278288889,7.09E-04,1.2457,6.02E-04
2370,1.277805556,7.34E-04,1.2451,6.18E-04
2375,1.277316667,7.60E-04,1.2445,6.34E-04
2380,1.276805556,7.87E-04,1.2439,6.51E-04
2385,1.276266667,8.14E-04,1.2433,6.66E-04
2390,1.275705556,8.43E-04,1.2427,6.80E-04
2395,1.275127778,8.72E-04,1.2420,6.92E-04
2400,1.274527778,9.03E-04,1.2414,7.05E-04
2405,1.273916667,9.36E-04,1.2407,7.17E-04
2410,1.273283333,9.71E-04,1.2400,7.30E-04
2415,1.272633333,1.01E-03,1.2394,7.43E-04
2420,1.271966667,1.05E-03,1.2387,7.56E-04
2425,1.271288889,1.10E-03,1.2380,7.69E-04
2430,1.270600000,1.14E-03,1.2372,7.82E-04
2435,1.269911111,1.19E-03,1.2365,7.94E-04
2440,1.269216667,1.24E-03,1.2358,8.06E-04
2445,1.268516667,1.29E-03,1.2350,8.17E-04
2450,1.267805556,1.34E-03,1.2343,8.27E-04
2455,1.267083333,1.40E-03,1.2335,8.37E-04
2460,1.266711765,1.45E-03,1.2327,8.48E-04
2465,1.266331250,1.51E-03,1.2319,8.59E-04
2470,1.265946667,1.57E-03,1.2311,8.70E-04
2475,1.265564286,1.63E-03,1.2302,8.81E-04
2480,1.265176923,1.69E-03,1.2294,8.92E-04
2485,1.264783333,1.75E-03,1.2285,9.02E-04
2490,1.264400000,1.81E-03,1.2276,9.11E-04
2495,1.264020000,1.86E-03,1.2267,9.19E-04
2500,1.263655556,1.90E-03,1.2258,9.25E-04

